Date,Year,Months,Item,Domain,Area,Element,Value
2010-01-01,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-01-02,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1348.39
2010-01-03,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1346.77
2010-01-04,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1345.16
2010-01-05,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1343.55
2010-01-06,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1341.94
2010-01-07,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1340.32
2010-01-08,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1338.71
2010-01-09,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1337.10
2010-01-10,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1335.48
2010-01-11,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1333.87
2010-01-12,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1332.26
2010-01-13,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1330.65
2010-01-14,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1329.03
2010-01-15,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1327.42
2010-01-16,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1325.81
2010-01-17,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1324.19
2010-01-18,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1322.58
2010-01-19,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1320.97
2010-01-20,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1319.35
2010-01-21,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1317.74
2010-01-22,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1316.13
2010-01-23,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1314.52
2010-01-24,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1312.90
2010-01-25,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1311.29
2010-01-26,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1309.68
2010-01-27,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1308.06
2010-01-28,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1306.45
2010-01-29,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1304.84
2010-01-30,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1303.23
2010-01-31,2010.0,January,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1301.61
2010-02-01,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1300.00
2010-02-02,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1301.79
2010-02-03,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1303.57
2010-02-04,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1305.36
2010-02-05,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1307.14
2010-02-06,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1308.93
2010-02-07,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1310.71
2010-02-08,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1312.50
2010-02-09,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1314.29
2010-02-10,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1316.07
2010-02-11,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1317.86
2010-02-12,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1319.64
2010-02-13,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1321.43
2010-02-14,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1323.21
2010-02-15,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1325.00
2010-02-16,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1326.79
2010-02-17,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1328.57
2010-02-18,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1330.36
2010-02-19,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1332.14
2010-02-20,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1333.93
2010-02-21,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1335.71
2010-02-22,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1337.50
2010-02-23,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1339.29
2010-02-24,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1341.07
2010-02-25,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1342.86
2010-02-26,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1344.64
2010-02-27,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1346.43
2010-02-28,2010.0,February,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1348.21
2010-03-01,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-02,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-03,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-04,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-05,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-06,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-07,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-08,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-09,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-10,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-11,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-12,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-13,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-14,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-15,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-16,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-17,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-18,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-19,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-20,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-21,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-22,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-23,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-24,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-25,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-26,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-27,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-28,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-29,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-30,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-03-31,2010.0,March,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-01,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-02,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-03,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-04,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-05,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-06,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-07,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-08,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-09,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-10,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-11,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
